,A,B,C,D,E,F1,G1,H1,I1,J1,K1,L,M,N,O,P,Q,H,G,F,K,I,J
2016-01-01 00:00:00,-8.178,-60.049,-19.302,-36.826,-31.024,-60.933,-29.653,-35.228,-6.855,-18.097,-25.849,-42.929,-92.349,-50.574,-68.093,-41.474,-277.36,-119.353,-117.301,-125.814,-68.093,-41.474,-277.36
2016-01-01 01:00:00,-7.39,-58.017,-17.945,-33.755,-32.177,-58.723,-28.02,-34.834,-6.841,-17.658,-24.535,-39.051,-101.026,-51.694,-67.978,-43.846,-278.918,-115.28,-125.524,-121.577,-67.978,-43.846,-278.918
2016-01-01 02:00:00,-7.397,-58.369,-18.022,-33.69,-32.211,-58.573,-28.005,-34.772,-6.845,-17.631,-24.506,-38.689,-101.108,-51.683,-67.611,-43.999,-278.954,-114.878,-125.584,-121.349,-67.611,-43.999,-278.954
2016-01-01 03:00:00,-7.658,-58.449,-18.19,-32.968,-32.21,-58.423,-28.005,-34.079,-6.854,-17.613,-24.407,-37.219,-102.506,-51.686,-67.469,-44.149,-279.15,-113.312,-126.974,-120.507,-67.469,-44.149,-279.15
2016-01-01 04:00:00,-8.084,-58.211,-18.368,-29.579,-32.162,-58.214,-28.003,-30.636,-6.849,-17.581,-24.332,-32.86,-105.129,-51.715,-67.267,-44.302,-279.346,-108.907,-129.558,-116.853,-67.267,-44.302,-279.346
2016-01-01 05:00:00,-8.682,-58.211,-18.561,-35.271,-32.127,-57.998,-28.003,-34.635,-6.829,-17.546,-24.73,-36.515,-108.496,-51.768,-67.524,-44.469,-279.543,-113.013,-132.871,-120.635,-67.524,-44.469,-279.543
2016-01-01 06:00:00,-9.302,-58.797,-18.754,-38.031,-32.289,-55.778,-27.989,-37.789,-6.924,-17.529,-25.49,-39.15,-112.072,-52.2,-68.235,-44.638,-279.543,-116.84,-136.525,-121.556,-68.235,-44.638,-279.543
2016-01-01 07:00:00,-10.161,-59.693,-19.388,-39.915,-32.882,-53.097,-28.477,-40.34,-7.239,-17.718,-27.135,-41.249,-119.683,-53.481,-70.009,-44.719,-285.147,-121.865,-144.64,-121.915,-70.009,-44.719,-285.147
2016-01-01 08:00:00,-11.254,-66.121,-20.4,-41.689,-36.081,-57.489,-31.6,-42.849,-7.718,-18.46,-30.546,-43.399,-130.414,-55.732,-76.452,-44.745,-318.33,-129.677,-156.592,-131.937,-76.452,-44.745,-318.33
2016-01-01 09:00:00,-13.794,-81.996,-22.171,-43.613,-46.904,-81.862,-38.542,-45.588,-8.412,-21.778,-37.021,-46.113,-171.042,-64.173,-91.578,-49.784,-380.482,-147.306,-201.233,-165.993,-91.578,-49.784,-380.482
2016-01-01 10:00:00,-14.903,-105.685,-26.497,-49.405,-62.179,-85.008,-46.162,-50.342,-9.814,-27.54,-40.485,-55.369,-187.377,-90.027,-100.775,-61.896,-444.027,-185.881,-224.731,-181.511,-100.775,-61.896,-444.027
2016-01-01 11:00:00,-14.914,-121.325,-29.792,-49.97,-76.233,-89.582,-46.979,-51.132,-11.616,-32.758,-41.241,-57.739,-187.938,-96.631,-101.802,-68.713,-456.057,-195.611,-232.312,-187.694,-101.802,-68.713,-456.057
2016-01-01 12:00:00,-14.278,-114.22,-30.349,-53.89,-77.158,-94.596,-46.207,-53.708,-11.074,-34.664,-41.729,-59.746,-182.209,-93.127,-103.177,-70.211,-452.184,-194.602,-227.948,-194.512,-103.177,-70.211,-452.184
2016-01-01 13:00:00,-13.051,-109.889,-28.403,-49.506,-75.342,-100.192,-45.668,-52.568,-10.319,-33.85,-42.606,-58.396,-173.984,-90.657,-106.25,-70.957,-449.524,-191.658,-218.153,-198.428,-106.25,-70.957,-449.524
2016-01-01 14:00:00,-12.079,-112.398,-29.556,-49.694,-79.002,-112.813,-47.34,-51.748,-11.456,-34.775,-45.501,-57.371,-164.844,-107.266,-110.335,-71.742,-473.907,-210.139,-211.076,-211.901,-110.335,-71.742,-473.907
2016-01-01 15:00:00,-12.13,-119.221,-31.886,-49.883,-78.916,-111.652,-49.757,-52.042,-12.39,-35.244,-42.492,-57.473,-172.213,-120.726,-105.634,-72.541,-526.706,-220.691,-219.847,-213.451,-105.634,-72.541,-526.706
2016-01-01 16:00:00,-10.996,-123.743,-26.304,-49.063,-72.568,-104.093,-47.875,-51.283,-11.778,-34.749,-37.875,-56.654,-159.527,-112.26,-98.219,-74.747,-506.625,-206.789,-206.054,-203.251,-98.219,-74.747,-506.625
2016-01-01 17:00:00,-10.131,-107.192,-27.816,-46.852,-66.208,-95.307,-46.089,-48.606,-11.06,-34.319,-33.266,-54.076,-151.403,-84.898,-90.741,-78.834,-485.241,-172.241,-196.782,-190.001,-90.741,-78.834,-485.241
2016-01-01 18:00:00,-9.225,-84.476,-26.822,-43.151,-58.809,-85.572,-43.59,-43.756,-9.996,-31.243,-29.083,-49.421,-142.801,-72.798,-83.476,-68.685,-454.165,-151.301,-184.039,-172.918,-83.476,-68.685,-454.165
2016-01-01 19:00:00,-8.28,-72.644,-24.386,-39.256,-51.848,-70.369,-40.858,-38.871,-8.483,-24.756,-26.854,-45.263,-131.517,-65.493,-78.566,-60.575,-417.645,-137.61,-164.756,-150.098,-78.566,-60.575,-417.645
2016-01-01 20:00:00,-7.342,-65.967,-22.065,-35.547,-41.185,-56.123,-36.217,-34.276,-7.587,-19.082,-26.245,-41.288,-118.052,-58.276,-76.089,-52.798,-357.76,-125.81,-144.721,-126.616,-76.089,-52.798,-357.76
2016-01-01 21:00:00,-7.202,-62.532,-19.86,-33.45,-34.928,-49.607,-30.677,-32.019,-7.116,-17.086,-25.797,-39.51,-113.47,-51.485,-74.702,-47.991,-283.309,-116.792,-137.672,-112.303,-74.702,-47.991,-283.309
2016-01-01 22:00:00,-7.164,-60.703,-17.921,-33.17,-32.208,-52.065,-29.566,-31.674,-6.845,-16.708,-25.354,-39.484,-112.309,-47.776,-73.331,-46.701,-265.406,-112.614,-135.862,-113.304,-73.331,-46.701,-265.406
2016-01-01 23:00:00,-7.423,-60.526,-19.109,-33.96,-29.223,-53.008,-28.982,-33.745,-6.379,-16.959,-24.983,-42.792,-100.853,-56.417,-69.829,-46.42,-277.61,-124.191,-124.191,-115.735,-69.829,-46.42,-277.61
2016-01-02 00:00:00,-7.919,-62.383,-21.477,-35.966,-25.044,-54.564,-28.308,-38.291,-5.442,-17.829,-25.059,-49.663,-78.192,-57.949,-63.094,-45.625,-312.158,-132.671,-101.463,-121.163,-63.094,-45.625,-312.158
2016-01-02 01:00:00,-8.175,-63.275,-22.521,-36.958,-22.953,-55.405,-27.966,-40.54,-4.969,-18.211,-25.094,-50.08,-66.17,-58.715,-59.643,-43.279,-327.255,-133.89,-89.349,-123.911,-59.643,-43.279,-327.255
2016-01-02 02:00:00,-8.183,-63.242,-21.943,-36.944,-22.953,-55.456,-27.961,-40.517,-4.963,-18.159,-25.089,-37.414,-64.288,-58.719,-59.88,-31.58,-320.686,-121.222,-87.411,-123.934,-59.88,-31.58,-320.686
2016-01-02 03:00:00,-8.19,-63.209,-21.371,-36.933,-22.953,-55.449,-27.955,-40.492,-4.959,-18.108,-25.086,-38.999,-62.435,-58.744,-60.421,-35.009,-314.171,-122.829,-85.501,-123.896,-60.421,-35.009,-314.171
2016-01-02 04:00:00,-8.198,-63.183,-20.825,-36.933,-22.944,-55.346,-27.953,-40.484,-4.952,-18.079,-25.083,-47.62,-60.78,-57.969,-60.805,-41.18,-307.12,-130.671,-83.812,-123.783,-60.805,-41.18,-307.12
2016-01-02 05:00:00,-8.205,-63.169,-20.306,-36.938,-22.934,-55.61,-27.953,-40.481,-4.946,-18.06,-25.079,-50.55,-59.251,-56.599,-60.544,-41.994,-299.945,-132.228,-82.257,-124.044,-60.544,-41.994,-299.945
