samples,cost,reduced_scenario,probability
1,482215422.3881543,423.0,0.0
2,452828741.3824754,187.0,0.0
3,460779937.1751561,320.0,0.0
4,463544269.9696805,4.0,0.084
5,479718515.75773394,430.0,0.0
6,476817217.38715684,430.0,0.0
7,458991971.4495989,320.0,0.0
8,464669935.6570239,144.0,0.0
9,481378109.3031746,423.0,0.0
10,440145378.4373893,51.0,0.0
11,464682383.34911865,144.0,0.0
12,472203840.46149,275.0,0.0
13,476966352.9788799,430.0,0.0
14,476137809.8395553,206.0,0.0
15,475147466.20214856,206.0,0.0
16,451810599.33134604,187.0,0.0
17,470818546.66357934,35.0,0.0
18,471777608.93608826,275.0,0.0
19,461495044.71945757,320.0,0.0
20,467823205.2551663,391.0,0.0
21,460020914.59406,320.0,0.0
22,502361389.24991745,218.0,0.0
23,479496590.21722746,430.0,0.0
24,486381898.2270981,147.0,0.0
25,471274937.07586443,35.0,0.0
26,476310816.8775961,206.0,0.0
27,474899197.012832,206.0,0.0
28,474479155.7267589,206.0,0.0
29,461159951.1575348,320.0,0.0
30,451969616.06091917,187.0,0.0
31,459346767.990541,320.0,0.0
32,455370442.9883221,221.0,0.0
33,459731347.0319983,320.0,0.0
34,469555291.1634777,35.0,0.0
35,470499815.07994896,35.0,0.07
36,464352681.72840786,4.0,0.0
37,484132013.2903879,147.0,0.0
38,476840189.929159,430.0,0.0
39,474064069.1177736,206.0,0.0
40,464781657.1083802,144.0,0.0
41,468125137.6742275,391.0,0.0
42,460671397.65409446,320.0,0.0
43,474117726.9438546,206.0,0.0
44,463762878.9326554,4.0,0.0
45,493340354.0656056,491.0,0.0
46,463798946.1732625,4.0,0.0
47,454036453.97213155,187.0,0.0
48,462759644.9604338,4.0,0.0
49,465983457.2916007,144.0,0.0
50,485507058.26620454,147.0,0.0
51,444112241.4131136,51.0,0.016
52,462955085.9923772,4.0,0.0
53,468985406.4407348,391.0,0.0
54,476055655.2199586,206.0,0.0
55,463138654.5320827,4.0,0.0
